id,sold,response,main_salary,second_salary,annual_bonus,loan_os,house_value_change,bank_balance_main,credit_card_bal,car_loan,used_bank_overdraft,owns_property,remarried,divorce,age,shares,savings,children,areacode,credit_card
1,0,0,56000,0,0,-249,1000,68,2136,0,0,0,0,0,50,25,5883,2,7,Y
2,0,0,16000,0,0,0,0,2634,810,0,0,0,0,0,31,120,0,0,1,N
3,1,1,12000,0,0,-518,0,2,1704,0,1,0,0,1,23,0,2789,4,5,Y
4,0,0,0,0,0,-1,0,36,0,0,0,0,0,0,19,0,0,4,2,N
5,1,1,22000,0,0,-223,0,534,1118,0,1,0,0,0,35,0,8171,0,5,Y
6,0,0,31000,0,0,-98,0,175,1265,0,0,0,0,0,26,0,1663,4,5,Y
7,0,0,54000,1000,0,-101,0,29,523,1000,1,1,0,0,69,0,5608,0,7,Y
8,0,0,21000,0,0,-2,1000,3015,96,0,0,0,0,0,21,0,322,0,4,N
9,0,0,14000,0,23,-251,1000,1436,420,0,0,0,0,0,23,173,0,0,5,Y
10,0,0,22000,2000,0,-172,6000,8480,259,0,0,1,0,0,39,38,0,0,9,Y
11,0,0,33000,10000,0,-9616,15000,12251,999,40000,0,1,0,0,48,0,0,0,9,Y
12,0,0,2000,0,0,0,0,1162,3,0,0,0,0,0,18,0,0,0,1,N
13,0,0,41000,0,0,-1,0,1662,1875,0,0,0,0,0,37,0,1022,0,4,N
14,0,0,0,0,7600,-9,7000,1637,0,0,0,1,0,0,18,426,0,4,5,N
15,0,0,46000,0,0,-10,6000,0,1722,0,0,0,0,0,36,0,139,0,2,N
16,0,0,2000,0,0,-14,0,24,77,0,1,0,0,0,18,0,127,4,5,Y
17,0,0,17000,0,1,-77,0,254,267,0,0,0,0,1,41,0,0,2,6,N
18,0,0,16000,0,41,-83,0,7377,951,2000,0,1,0,0,39,532,228,0,7,Y
19,0,0,0,0,0,-10,9000,11,4555,0,0,1,0,0,60,0,7296,0,3,N
20,0,0,30000,0,0,-506,-1000,3308,1344,0,0,1,0,0,50,0,422,0,3,Y
21,0,0,1000,0,0,0,0,48,55,0,0,0,0,0,18,0,0,4,1,N
22,0,1,16000,0,0,-413,0,0,1425,0,1,0,0,0,22,0,0,0,7,Y
23,0,0,8000,0,0,-1,-5000,438,790,0,0,0,0,0,26,0,0,0,7,N
24,0,0,7000,0,34,-1,0,3843,206,0,0,0,0,0,49,4,47,0,2,N
25,0,0,97000,4000,0,-653,6000,6,6854,0,0,1,0,0,41,0,182,0,4,N
26,0,0,0,0,0,0,0,274,4,0,0,0,0,0,19,0,0,0,3,N
27,0,0,0,0,0,-14,3000,4249,224,0,0,0,0,0,58,0,0,0,5,N
28,0,0,0,0,0,-7,0,50,0,0,0,0,0,0,18,0,0,4,4,N
29,0,0,16000,0,0,-67,0,6,2162,0,1,0,0,0,28,36,1562,0,8,N
30,0,0,9000,0,0,-130,-19000,160,1661,0,0,0,0,0,37,0,217,3,6,N
31,0,0,0,0,0,0,0,42,0,0,0,0,0,0,18,0,0,4,1,N
32,0,0,9000,0,56,-48,1000,2063,249,1000,0,0,0,0,31,1135,0,0,2,Y
33,0,0,69000,0,0,-1,3000,10839,269,0,0,0,0,0,30,364,0,0,1,N
34,0,0,51000,0,0,-19,3000,4922,1706,0,0,0,0,0,28,0,0,2,9,N
35,0,0,34000,0,0,-1032,-1000,34,2458,0,0,1,0,0,42,0,849,1,9,Y
36,0,0,43000,0,0,-443,0,4734,2169,0,0,1,0,0,23,0,0,2,6,Y
37,0,0,56000,8000,0,-1,5000,14,4574,0,0,0,0,0,44,0,13928,0,4,N
38,0,0,10000,0,0,-58,-1000,1,3360,1000,1,0,0,1,27,0,1742,0,4,N
39,0,0,0,0,0,0,0,123,27,0,0,0,0,0,18,0,0,1,7,N
40,0,0,41000,0,0,-1572,5000,8244,2127,0,0,1,0,0,43,1,518,0,7,Y
41,0,0,0,0,0,-1,0,0,84,0,1,0,0,0,18,0,0,0,1,Y
42,0,0,43000,0,121,-9,0,165,0,0,0,0,0,0,44,0,0,0,1,N
43,0,0,124000,0,0,-296,-19000,278,22799,0,0,0,0,0,23,0,12356,0,1,N
44,0,0,0,0,0,-44,-3000,862,122,0,0,0,0,0,22,707,0,0,7,Y
45,0,0,30000,0,0,0,2000,2896,2073,0,0,0,0,0,20,60,0,4,1,N
46,0,0,4000,0,0,-4,0,278,193,0,0,0,0,0,29,0,76,4,8,N
47,0,0,17000,0,0,-6,0,917,721,0,0,0,0,0,46,0,0,0,8,N
48,0,0,8000,0,0,-36,0,1690,371,0,0,1,0,0,59,0,1338,0,5,Y
49,0,0,48000,6000,0,-154,12000,344,2340,0,1,0,0,0,63,0,2884,0,4,Y
50,0,0,0,0,0,-1,43000,0,1634,0,0,1,0,0,38,10096,0,0,1,N
