id,target,CCJ_government,CCJ_private,bank_bal2,land_worth,bank_balance,wages,house_value,savings,amount_owed,wages_debt_percent,stocks_profile,difference_wages_last_year,properties,mortgage
1,0,0,0,464,34,1884,1907,1299,338,24,100,1.5,-0.2,1,0
2,0,0,0,99798,8211,33946,194715,374677,0,1,100,26.2,0,2,1
3,0,0,0,-16501,0,26514,166408,81386,5671,55407,63.6,31.5,0.2,0,0
4,1,,,-1869,0,183,2621,361,0,394,100,-170.2,-0.9,0,0
5,0,0,0,-640,29392,444,6749,10654,0,1033,100,12.9,0,10,1
6,0,0,0,704,0,651,922,606,160,0,100,84.9,0.1,0,0
7,0,0,0,-156095,0,1611,289909,1693710,0,0,0,-0.9,0,1,0
8,0,0,0,9821,29104,92,13525,131,415,30,74.6,783.1,0,7,1
9,0,,,-1390,0,1186,1818,15138,0,5,100,7.9,0,0,0
10,0,0,0,10661,13874,0,158,4068,3840,0,100,11.6,0.2,1,1
11,0,0,0,-148,0,11,213,1250,0,6,100,7.1,0,1,0
12,0,0,0,-521,0,2212,9403,5374,4786,4,0,-21.1,-1.4,0,0
13,0,0,0,-316,0,389,7471,5441,155,1058,28.7,0,0,0,0
14,0,0,0,51,847,96,109,631,0,3,100,-11.9,0,2,1
15,0,0,0,-13,0,33,55,-668,0,0,100,-0.8,0,0,0
16,0,0,0,-254,0,249,790,6107,440,0,0,-10.8,0,0,0
17,0,0,0,-32,0,301,460,75,0,1,100,-111.4,0.1,0,0
18,0,0,0,88,0,0,3573,3546,0,0,0,-91.5,-1.2,0,0
19,0,0,0,-80,0,714,790,736,0,0,0,-61,-0.4,0,0
20,0,0,0,-1546,14525,0,1839,5662,0,467,100,-67.5,-0.2,2,1
21,0,0,0,90,30,302,1743,2146,22,5,100,-3.6,0.1,1,1
22,0,,,435,0,1244,1499,638,117,29,100,-16.8,0.1,0,0
23,0,0,0,-3997,452,3031,3262,7042,0,43,0,-7.2,0,0,0
24,0,0,0,7,0,4,129,121,0,0,100,5.8,0.1,0,0
25,0,0,0,4613,7725,4359,16651,29608,7424,401,100,12.4,0,2,1
26,0,0,0,34,5214,937,1207,226,0,111,100,-55.4,0.1,1,1
27,0,0,0,797,968,881,1085,859,276,3,87.2,76.7,0.3,3,1
28,0,0,0,164,4708,146,971,2714,1093,0,100,-120.1,-0.7,1,1
29,0,0,0,-163,32,94,727,366,0,0,100,-51.7,0,1,0
30,0,0,0,-264,0,0,7599,4080,0,0,100,122.9,0.1,0,0
31,0,0,0,101,0,437,815,548,0,0,100,1.8,0,0,0
32,0,,,-81,315,7,18,511,0,0,0,-10.7,-0.1,1,0
33,0,0,0,-40,0,0,61,-160,0,38,57.3,-29.2,2.1,0,0
34,1,0,0,779,0,3,3885,2680,461,0,6.8,24,1.4,0,0
35,0,0,0,-2,0,25,2938,2129,0,140,53.4,-0.1,0.1,0,0
36,0,0,0,-3258,16626,3,450,4593,0,49,97.1,-18.8,0,3,1
37,0,0,0,0,0,9,153,137,0,15,26.9,104.4,5.2,0,0
38,0,0,0,-10,184,201,223,322,38,37,100,-60.6,-0.8,1,1
39,0,0,0,20,0,30,1534,650,0,0,56.9,1.7,0.1,0,0
40,0,0,0,284,0,689,943,360,50,191,70,4.6,0,0,0
41,0,0,0,448,1443,297,3089,2397,1658,1086,48.3,-8.3,-0.4,2,1
42,0,0,0,2322,34762,0,105744,127821,743,1123,100,0.1,0,5,1
43,0,0,0,92,0,2329,2437,2854,1063,118,100,-0.8,-0.1,0,0
44,0,0,0,2534,2359,107,254,10054,489,0,68.5,-72.6,0,7,1
45,0,0,0,88,0,24,311,5,0,98,47.6,1881.7,-0.3,0,0
46,0,0,0,-251,4777,0,530,1219,325,0,100,-1.9,0,1,1
47,0,0,0,-246,10116,0,966,3636,275,0,79.2,35.7,-1.1,1,1
48,0,0,0,11,8705,87,339,2075,368,0,100,17.8,0,1,1
49,0,0,0,107,0,56,217,159,0,16,73.3,171.1,0.1,0,0
50,0,0,0,1178,8420,3086,4815,6897,3608,551,73.3,-4,-0.2,2,1
51,0,0,0,3045,18216,2335,5918,28974,10152,343,100,0,0.1,5,1
52,0,0,0,182,50,507,950,769,45,42,100,4,0,2,1
53,0,0,0,4165,72034,0,74,42067,302,158,57.4,-7.5,0,3,0
54,0,0,0,8,0,64,386,365,0,21,44,1.6,-0.2,0,0
55,0,0,0,1,0,5,111,106,0,0,0,-30.7,-0.5,0,0
56,0,0,0,447,10597,1398,3770,1768,803,156,100,-18.1,-0.2,1,1
57,0,0,0,26,2155,137,736,1859,0,18,90.8,162.3,-3.5,1,1
58,0,0,0,171,167,7320,9939,1771,599,45,2.6,11.5,-0.2,1,1
59,0,0,0,635,0,6671,46653,43727,590,0,-1.9,-14.5,0,0,0
60,0,0,0,-2,30,9,29,-10,0,0,100,-1280,1.8,1,1
61,0,0,0,483,5640,8,1244,3442,0,100,99.6,1.7,0,2,1
62,0,0,0,184,0,800,1254,430,0,349,37.6,2.7,-1.7,0,0
63,0,0,0,191,1571,2033,2799,4292,351,49,100,3.6,0.1,1,1
64,0,0,0,294,0,1461,1518,421,309,7,100,31.9,0.1,0,0
65,0,0,0,-6,692,6,60,-746,0,6,50,7.7,-0.2,1,1
66,0,0,0,809,27291,551,9911,9175,0,65,100,-138.6,-0.1,2,1
67,0,0,0,4265,0,8881,11726,49377,0,176,31.5,0.5,-0.1,0,0
68,0,0,0,-90,0,0,1076,309,0,238,41.1,-39,-0.1,0,0
69,0,0,0,1899,19457,0,586,1986,1383,189,100,-3.4,-0.1,2,1
70,0,0,0,-72,0,0,5205,537,144,0,100,-2.8,0.3,4,1
71,0,0,0,8,77,0,45,484,0,0,0,0,0,1,1
72,0,0,0,72,0,0,1611,934,0,64,20.2,24.1,0.1,0,0
73,0,0,0,1245,44,1853,1876,1353,520,0,100,61.8,0.5,2,0
74,0,0,0,1275,980,11924,11949,33618,212,7,100,6.3,0,1,0
75,0,0,0,954,0,2787,7622,3871,1112,432,45.3,11.2,0,0,0
76,0,0,0,-19,0,864,2500,380,0,0,14.1,10.1,0.1,0,0
77,0,0,0,1291,12366,1010,4535,974,295,1061,100,-203.9,-0.1,4,1
78,0,0,0,-5703,0,17746,102176,4561,0,0,100,-92.4,-1.1,0,0
79,1,,,-2606,0,27,3600,1416,0,1188,12.7,93.7,0.3,0,0
80,1,,,-327,0,-1402,3852,213,0,2646,38,-153.7,0.1,0,0
81,0,,,419,277,12,1762,396,0,518,63.5,-429,-0.8,1,1
82,0,0,0,-71,0,944,1944,629,217,184,51.7,-41.5,1.1,0,0
83,1,,,-6032,0,108,7481,1631,0,6039,12,1615.5,-0.5,0,0
84,0,0,0,3202,15825,10361,12683,5854,3880,113,100,10.3,0,7,1
85,1,0,0,6,0,44,570,395,0,0,100,-6.9,-0.1,0,0
86,0,0,1,267,0,1285,2772,337,0,1143,100,51.8,-3.3,0,0
87,0,0,0,-728,28632,1183,5404,1451,110,2330,100,128.6,0,4,1
88,0,0,0,42,3720,355,508,740,181,221,100,-7.3,-0.1,1,1
89,0,,,263,0,171,2204,826,0,219,57.5,28.8,0.2,0,0
90,0,0,0,826,17277,81,557,649,0,1050,100,127.3,0.1,2,1
91,0,0,0,78,0,269,1076,604,25,59,52.7,10.6,-0.1,0,0
92,0,1,0,-442,337,596,1088,844,50,125,39.3,-102.6,0,0,0
93,0,0,0,-158,0,49,92,107,0,0,100,-73.8,0.1,0,0
94,0,0,0,41,0,387,393,375,0,0,48,2.5,0,0,0
95,0,0,0,-468,0,876,1700,965,0,328,89.4,-97.5,0.1,0,0
96,0,0,0,-66,1168,1,23,363,0,4,0,-1.5,0,0,0
97,0,0,0,0,0,238,377,467,0,11,37.8,57.8,0.3,0,0
98,0,0,0,-1,0,99,309,990,0,184,71.1,32.1,0.4,0,0
99,0,0,0,-1516,1140,619,3985,4691,108,1192,44.3,-72.1,0.1,0,0
100,0,0,0,26,0,94,396,151,0,12,100,-1.5,0.5,0,0
101,0,0,0,71,0,133,287,2327,72,2,100,-8.4,-0.1,0,0
102,0,0,0,-297,3815,9645,12037,15180,99,86,100,-4.4,0,6,1
103,0,0,0,-37,0,104,167,137,0,8,25.8,-60.9,0.4,0,0
104,0,0,0,-30,0,1031,1748,1723,0,0,0,3.1,0,0,0
105,1,2,0,-45,0,46,65,-565,0,1,0,-42.8,-13.3,0,0
106,0,0,0,1,63,22,68,112,0,0,100,15.3,0,1,1
107,0,0,0,331,4914,0,311,873,0,0,100,-13,0,1,1
108,0,0,0,637,4995,1086,5348,5383,313,2078,-641.6,-1.6,-0.1,2,1
109,0,0,0,347,3059,173,972,1703,0,92,100,14.2,0,4,1
110,0,0,0,1288,0,750,1580,1348,0,104,100,171.8,0,0,0
111,0,,,-632,899,653,1822,17499,0,0,100,-5.4,0.1,1,0
112,1,10,4,-96,605,2,60,-307,0,27,100,-23.7,0,1,1
113,0,,,285,8965,0,14068,18544,4265,0,72,-1.6,-1.2,2,1
114,0,,,-58,223,14,1562,299,0,105,44.7,6.9,0,1,1
115,0,0,0,5539,0,2083,5474,11367,0,0,100,39.6,0,0,0
116,0,0,0,531,2310,1114,7407,6076,1422,97,79,-1.9,-0.1,4,1
117,0,0,0,99,1,172,332,183,36,12,42.1,-29.9,0.8,1,1
118,0,0,0,-24,0,185,2024,3300,839,6,87,-30.3,0,0,0
119,0,0,0,-193,0,9,1603,1106,0,0,100,-34.3,0.1,1,1
120,0,0,0,179,2617,148,513,912,188,0,100,1.2,0,1,1
121,0,0,0,-9,0,196,254,1121,0,3,0,-9,-0.3,0,0
122,0,0,0,-26,0,98,113,324,0,0,61.1,-15.4,0.2,0,0
123,0,0,0,220,297,905,2299,2166,0,157,70,21.9,-0.3,1,1
124,0,0,0,239,0,422,1792,1740,0,68,66.3,-2.8,0,0,0
125,0,0,0,113,0,21,1397,489,148,135,46.9,-8.1,0.3,0,0
126,0,0,0,-30,686,262,642,707,24,10,100,1.6,0.1,1,1
127,0,0,0,2732,0,6,36251,26710,970,0,36.3,5.3,0.2,0,0
128,0,0,0,-6670,32932,1,7366,10002,0,369,100,7.3,0.1,0,0
129,0,0,0,8,0,129,251,205,45,1,97.9,-54.4,0.5,0,0
130,0,0,0,1674,0,2843,4567,2654,3122,276,73.5,-28.6,-0.2,0,0
131,0,0,0,-60194,0,0,236613,49663,0,506,100,-3310.7,0,0,0
132,0,0,0,-4169,116723,0,34201,3127,126,867,6.3,-76.9,-0.1,4,1
133,0,0,0,85,0,1628,4124,663,475,309,71.1,101.3,-0.1,0,0
134,0,0,0,-359,0,0,4667,4667,0,0,0,-100.5,-0.9,0,0
135,0,0,0,611,0,11,3964,1759,176,773,35.5,-23.4,-0.2,0,0
136,0,0,0,-187,0,1480,1568,318,0,5,0,-121.4,-2,0,0
137,0,0,0,32,0,13,2712,2292,0,18,93.5,15.6,0.2,0,0
138,0,0,0,114,0,340,1366,545,29,294,38.3,17.8,0.2,0,0
139,0,0,0,-58,0,438,1524,1404,101,6,95.4,-5.8,-0.3,0,0
140,0,0,0,181,2905,1642,1681,3376,0,8,100,12.1,0.1,7,1
141,0,0,0,3,0,56,56,52,3,0,100,3.7,0,0,0
142,0,0,0,-270,685,0,304,160,0,14,100,0.3,-0.3,5,1
143,0,0,0,-386,0,158,2013,1730,173,160,8,-31.2,-0.2,0,0
144,0,0,0,18069,0,1883,47427,36514,17195,88,100,-4,0,0,0
